"","","","CE","","INTO","","","","","Call to Interrupt Procedure"
"","","","CF","","IRET","","","","","Interrupt Return"
"","","","CF","","IRETD","","","","","Interrupt Return"
"","","","D0","","ROL","Eb","","1","","Rotate"
"","","","D0","","ROR","Eb","","1","","Rotate"
"","","","D0","","RCL","Eb","","1","","Rotate"
"","","","D0","","RCR","Eb","","1","","Rotate"
"","","","D0","","SHL","Eb","","1","","Shift"
"","","","D0","","SHR","Eb","","1","","Shift"
"","","","D0","","SAL","Eb","","1","","Shift"
"","","","D0","","SAR","Eb","","1","","Shift"
"","","","D1","","ROL","Evqp","","1","","Rotate"
"","","","D1","","ROR","Evqp","","1","","Rotate"
"","","","D1","","RCL","Evqp","","1","","Rotate"
"","","","D1","","RCR","Evqp","","1","","Rotate"
"","","","D1","","SHL","Evqp","","1","","Shift"
"","","","D1","","SHR","Evqp","","1","","Shift"
"","","","D1","","SAL","Evqp","","1","","Shift"
"","","","D1","","SAR","Evqp","","1","","Shift"
"","","","D2","","ROL","Eb","","CL","","Rotate"
"","","","D2","","ROR","Eb","","CL","","Rotate"
"","","","D2","","RCL","Eb","","CL","","Rotate"
"","","","D2","","RCR","Eb","","CL","","Rotate"
"","","","D2","","SHL","Eb","","CL","","Shift"
"","","","D2","","SHR","Eb","","CL","","Shift"
"","","","D2","","SAL","Eb","","CL","","Shift"
"","","","D2","","SAR","Eb","","CL","","Shift"
"","","","D3","","ROL","Evqp","","CL","","Rotate"
"","","","D3","","ROR","Evqp","","CL","","Rotate"
"","","","D3","","RCL","Evqp","","CL","","Rotate"
"","","","D3","","RCR","Evqp","","CL","","Rotate"
"","","","D3","","SHL","Evqp","","CL","","Shift"
"","","","D3","","SHR","Evqp","","CL","","Shift"
"","","","D3","","SAL","Evqp","","CL","","Shift"
"","","","D3","","SAR","Evqp","","CL","","Shift"
"","","","D4","0A","AAM","","","","","ASCII Adjust AX After Multiply"
"","","","D4","","AMX","","","Ib","","Adjust AX After Multiply"
"","","","D5","0A","AAD","","","","","ASCII Adjust AX Before Division"
"","","","D5","","ADX","","","Ib","","Adjust AX Before Division"
"","","","D6","","SALC","","","","","Set AL If Carry"
"","","","D7","","XLAT","","","(DS:)[rBX+AL]","","Table Look-up Translation"
"","","","D8","","FADD","","","Msr","","Add"
"","","","D8","","FMUL","","","Msr","","Multiply"
"","","","D8","","FCOM","","","","ESsr","Compare Real"
"","","","D8","D1","FCOM","","","","","Compare Real"
"","","","D8","","FCOMP","","","","ESsr","Compare Real and Pop"
"","","","D8","D9","FCOMP","","","","","Compare Real and Pop"
"","","","D8","","FSUB","","","Msr","","Subtract"
"","","","D8","","FSUBR","","","Msr","","Reverse Subtract"
"","","","D8","","FDIV","","","Msr","","Divide"
"","","","D8","","FDIVR","","","Msr","","Reverse Divide"
"","","","D9","","FLD","","","ESsr","","Load Floating Point Value"
"","","","D9","","FXCH","","","","","Exchange Register Contents"
"","","","D9","C9","FXCH","","","","","Exchange Register Contents"
"","","","D9","","FST","Msr","","","","Store Floating Point Value"
"","","","D9","D0","FNOP","","","","","No Operation"
"","","","D9","","FSTP","Msr","","","","Store Floating Point Value and Pop"
